HDFS,база данных,роль,группа,Вид учетной записи,учетная запись,YARN
/data/custom/rb/spoobk/pa,custom_rb_spoobk,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/spoobk/pa,custom_rb_spoobk,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/spoobk/pa,custom_rb_spoobk,r_dc_custom_rb_spoobk_ro,g_dc_d_custom_rb_spoobk_ro,Пользователь,,
/data/custom/rb/spoobk/stg,custom_rb_spoobk_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/spoobk/stg,custom_rb_spoobk_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/stoplist/pa,custom_rb_stoplist,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/stoplist/pa,custom_rb_stoplist,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/stoplist/pa,custom_rb_stoplist,r_dc_custom_rb_stoplist_ro,g_dc_d_custom_rb_stoplist_ro,Пользователь,,
/data/custom/rb/stoplist/stg,custom_rb_stoplist_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/stoplist/stg,custom_rb_stoplist_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/triggers/pa,custom_rb_triggers,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/triggers/pa,custom_rb_triggers,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/triggers/pa,custom_rb_triggers,r_dc_custom_rb_triggers_ro,g_dc_d_custom_rb_triggers_ro,Пользователь,,
/data/custom/rb/triggers/stg,custom_rb_triggers_stg,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
/data/custom/rb/triggers/stg,custom_rb_triggers_stg,r_dc_3ls_ro,g_dc_d_3ls_ro,Пользователь,,
/data/custom/rb/tsm_retail/pa,custom_rb_tsm_retail,r_dc_custom_team_rozn_rw,g_dc_d_custom_team_rozn_rw,ТУЗ,u_dc_s_custom_rb,
